
列表更新时间,#genre#
2024-09-21 18:34:46,https://cdn.jsdelivr.net/gh/feiyangdigital/testvideo/time/time.mp4

4K频道,#genre#
4K60PHLG-HEVC-EAC3测试,https://cdn.jsdelivr.net/gh/feiyangdigital/testvideo/hlg4kvideo/index.m3u8
4K60PSDR-H264-AAC测试,https://cdn.jsdelivr.net/gh/feiyangdigital/testvideo/sdr4kvideo/index.m3u8

zonghe,#genre#
 鹿鼎记,https://lunbo.freetv.top/yy/1355526531
007系列动作大片,https://lunbo.freetv.top/yy/1382736897
24H地下交通站全,https://lunbo.freetv.top/yy/37880083
24h 我爱我家 纯音频,https://lunbo.freetv.top/yy/1356212303
24h小时最新电影大全,https://lunbo.freetv.top/yy/1355171357
24【动漫】正在直播,https://lunbo.freetv.top/yy/1350984033
24小时循环播电视剧,https://lunbo.freetv.top/yy/53320802
24小时陪你看,https://lunbo.freetv.top/yy/1331686180
8090.电影一哥,https://lunbo.freetv.top/yy/29197808
83射雕英雄传,https://lunbo.freetv.top/yy/1354210357
9.8分！这部纪录片封神了,https://lunbo.freetv.top/yy/1382736825
M恐怖片正在直播,https://lunbo.freetv.top/yy/1352956876
TVB笑料王，翻生武林必看港剧,https://lunbo.freetv.top/yy/1382749910
TVB经典港剧-寒山潜龙,https://lunbo.freetv.top/yy/1382745103
YY用户,https://lunbo.freetv.top/yy/85042287
[特种兵系列】,https://lunbo.freetv.top/yy/1508456184
《仙侠》开局无敌了,https://lunbo.freetv.top/yy/29600150
《武林外传》武侠,https://lunbo.freetv.top/yy/1394000563
《石敢当》六耳猕猴,https://lunbo.freetv.top/yy/1394156613
【利刃出击之特乐乐陪看】,https://lunbo.freetv.top/yy/1352946111
【动漫】精彩国漫,https://lunbo.freetv.top/yy/28796627
【成龙经典】动作,https://lunbo.freetv.top/yy/34460526
【战狼3吴京】独播,https://lunbo.freetv.top/yy/37999586
【新三国】,https://lunbo.freetv.top/yy/1382851415
【新三国】吕布,https://lunbo.freetv.top/yy/1382851459
【新三国】日版,https://lunbo.freetv.top/yy/1382851457
【新三国】萌儿陪看,https://lunbo.freetv.top/yy/29216766
【无心法师】24h~,https://lunbo.freetv.top/yy/29067083
【杉杉来了】杨幂,https://lunbo.freetv.top/yy/23458682
【林正英】僵尸 鬼片,https://lunbo.freetv.top/yy/30668277
【武林客栈】,https://lunbo.freetv.top/yy/1382773728
【港台】鬼片 惊悚 喜剧,https://lunbo.freetv.top/yy/1351030377
【港片】赌片 动作,https://lunbo.freetv.top/yy/24921161
【电影】顶级动作电影,https://lunbo.freetv.top/yy/24923327
【电视剧】天下第一,https://lunbo.freetv.top/yy/1354780649
【盜暮笔记】24h,https://lunbo.freetv.top/yy/1356373644
【破案 悬疑 港剧】,https://lunbo.freetv.top/yy/1382800083
【神雕侠侣】金庸经典,https://lunbo.freetv.top/yy/1382704651
【科幻】超炫特效,https://lunbo.freetv.top/yy/37988782
【科幻电影】,https://lunbo.freetv.top/yy/1355065896
【荒野求生】德爷贝爷各种,https://lunbo.freetv.top/yy/21831828
【追风者】,https://lunbo.freetv.top/yy/1354806550
【陪你看】金刚葫芦娃,https://lunbo.freetv.top/yy/1353323999
【鹿鼎记】金庸经典,https://lunbo.freetv.top/yy/28265277
一分钟学道菜,https://lunbo.freetv.top/yy/1382736901
一剑开天门,https://lunbo.freetv.top/yy/34313906
一起来笑吧,https://lunbo.freetv.top/yy/1454859415
丁大命,https://lunbo.freetv.top/yy/1382735579
万紫千红 正在直播,https://lunbo.freetv.top/yy/16560036
万里走单骑-解密世界遗产的互动综艺,https://lunbo.freetv.top/yy/1382736853
三个臭皮匠顶一个诸葛亮,https://lunbo.freetv.top/yy/1354936221
三国演义94年经典版,https://lunbo.freetv.top/yy/1354936241
三国演义【1994】,https://lunbo.freetv.top/yy/1354930932
不用加班真开心,https://lunbo.freetv.top/yy/1354930924
丛林敢死队-国内电影,https://lunbo.freetv.top/yy/1354936214
丫头动漫 斗罗斗破,https://lunbo.freetv.top/yy/1458722520
丫鬟大联盟！笑个不停,https://lunbo.freetv.top/yy/1382749913
中国味道 第4季-美食纪录片,https://lunbo.freetv.top/yy/1382736845
举起手来-惊险抗日,https://lunbo.freetv.top/yy/1382736877
九品芝麻官包龙星,https://lunbo.freetv.top/yy/1354930968
了不起的萝莉小玲,https://lunbo.freetv.top/yy/1382736799
二号交通站,https://lunbo.freetv.top/yy/1354930965
二号交通站,https://lunbo.freetv.top/yy/1382735582
二号交通站,https://lunbo.freetv.top/yy/1382851582
二龙湖浩哥【经典搞笑】,https://lunbo.freetv.top/yy/28205255
亲爱的热爱的,https://lunbo.freetv.top/yy/1354932433
什么会让你快乐,https://lunbo.freetv.top/yy/54886912
今夜欢乐颂,https://lunbo.freetv.top/yy/1382735572
今晚80后脱口秀,https://lunbo.freetv.top/yy/1382745098
从芭比到律政精英，律政俏佳人传奇,https://lunbo.freetv.top/yy/1382745099
仙剑奇侠传-神仙姐姐驾到,https://lunbo.freetv.top/yy/1382749903
仙灵儿,https://lunbo.freetv.top/yy/1382736887
以家人之名,https://lunbo.freetv.top/yy/1382736908
传奇英雄,https://lunbo.freetv.top/yy/1382735578
伪装者,https://lunbo.freetv.top/yy/1354936244
伪装者,https://lunbo.freetv.top/yy/1382851593
体验另一种生活！,https://lunbo.freetv.top/yy/1354936229
你最爱的小龙女-神雕侠侣,https://lunbo.freetv.top/yy/1354926637
你看与不看我都在,https://lunbo.freetv.top/yy/1353422557
侏罗纪公园三部曲,https://lunbo.freetv.top/yy/1354936191
俺娘田小草,https://lunbo.freetv.top/yy/1382741638
倚天屠龙记 超清,https://lunbo.freetv.top/yy/1354755003
倚天屠龙记,https://lunbo.freetv.top/yy/1457793883
公主嫁到,https://lunbo.freetv.top/yy/1382736915
内部测试频道请勿封禁,https://lunbo.freetv.top/yy/1352488363
军旅剧（回忆经典）,https://lunbo.freetv.top/yy/1356306672
加勒比海盗系列,https://lunbo.freetv.top/yy/1382749914
动作 港片电影,https://lunbo.freetv.top/yy/1461037999
动作大片,https://lunbo.freetv.top/yy/1354888739
动作大片-热血开打,https://lunbo.freetv.top/yy/1354936168
动作武侠港片电影,https://lunbo.freetv.top/yy/1459801818
动漫,https://lunbo.freetv.top/yy/1354143938
动漫,https://lunbo.freetv.top/yy/1382747970
动漫,https://lunbo.freetv.top/yy/1382788679
动漫,https://lunbo.freetv.top/yy/22777075
动漫,https://lunbo.freetv.top/yy/23993334
动漫,https://lunbo.freetv.top/yy/26664495
动漫奥斯卡正在直播,https://lunbo.freetv.top/yy/1382626335
动物世界-领略原始野性,https://lunbo.freetv.top/yy/1382743138
动画剧集电影-原声粤语国,https://lunbo.freetv.top/yy/1382859239
十亿少女的噩梦,https://lunbo.freetv.top/yy/1354921392
华子系列,https://lunbo.freetv.top/yy/1354888726
单挑荒野第一季,https://lunbo.freetv.top/yy/1354933535
原始人大挑战,https://lunbo.freetv.top/yy/1382736884
双月之城-国漫,https://lunbo.freetv.top/yy/1382736907
发哥系列,https://lunbo.freetv.top/yy/1354888733
叛逆者,https://lunbo.freetv.top/yy/1382736868
古惑仔,https://lunbo.freetv.top/yy/1458015189
另类民兵葛二蛋,https://lunbo.freetv.top/yy/1382736895
史诗级战争大片,https://lunbo.freetv.top/yy/1382745092
名媛望族-精彩港剧,https://lunbo.freetv.top/yy/1354932431
吐槽大会 第2季,https://lunbo.freetv.top/yy/1354936145
吐槽大会 第5季,https://lunbo.freetv.top/yy/1354889009
和你不见不散,https://lunbo.freetv.top/yy/1355635293
哈利波特全集,https://lunbo.freetv.top/yy/1382745105
喜剧闹翻天,https://lunbo.freetv.top/yy/1382735548
国产喜剧大片,https://lunbo.freetv.top/yy/1382745113
国产大片电影,https://lunbo.freetv.top/yy/1354926655
国产家庭电视剧-如果岁月可回头,https://lunbo.freetv.top/yy/1382736883
国产战争片合集,https://lunbo.freetv.top/yy/1382749950
国内侦探电影大全,https://lunbo.freetv.top/yy/1354936134
国内动作大片,https://lunbo.freetv.top/yy/1382745176
国内动作大片,https://lunbo.freetv.top/yy/1382749917
国内喜剧,https://lunbo.freetv.top/yy/1382735563
国内喜剧,https://lunbo.freetv.top/yy/1382736862
国内喜剧,https://lunbo.freetv.top/yy/1382851598
国内战争电影,https://lunbo.freetv.top/yy/1382736865
国内玄幻电影-林正英,https://lunbo.freetv.top/yy/1354932444
国内科幻,https://lunbo.freetv.top/yy/1354936170
国内科幻片来袭,https://lunbo.freetv.top/yy/1354930821
国内经典动作电影,https://lunbo.freetv.top/yy/1382851522
国内高分悬疑剧-风筝,https://lunbo.freetv.top/yy/1354931585
国外动作大片,https://lunbo.freetv.top/yy/1382735540
国外科幻,https://lunbo.freetv.top/yy/1382736800
国外科幻大作合集,https://lunbo.freetv.top/yy/1382736836
国外院线动作大片,https://lunbo.freetv.top/yy/1382735570
国外高分大片,https://lunbo.freetv.top/yy/1382736867
国外黑色喜剧：冷幽默小剧场,https://lunbo.freetv.top/yy/1382745175
国学battle！国学小名士擂台赛,https://lunbo.freetv.top/yy/1354936228
国漫  动漫,https://lunbo.freetv.top/yy/1354076248
国漫 一起看正在直播,https://lunbo.freetv.top/yy/1351417866
国漫动漫,https://lunbo.freetv.top/yy/1354768828
地下交通站,https://lunbo.freetv.top/yy/1382736795
地球上的地狱,https://lunbo.freetv.top/yy/1382736918
士兵突击,https://lunbo.freetv.top/yy/1382828766
士兵突击,https://lunbo.freetv.top/yy/1382851600
复仇者联盟全季,https://lunbo.freetv.top/yy/1354936167
夏洛特烦恼-国内电影-喜剧,https://lunbo.freetv.top/yy/1354936201
大唐双龙传,https://lunbo.freetv.top/yy/1354930979
大家车言论,https://lunbo.freetv.top/yy/1382570702
大明王朝,https://lunbo.freetv.top/yy/1382736879
大汉天子S1,https://lunbo.freetv.top/yy/1382749902
大汉天子S2,https://lunbo.freetv.top/yy/1382736807
大汉贤后卫子夫,https://lunbo.freetv.top/yy/1382735569
大江大河-高分影视推荐,https://lunbo.freetv.top/yy/1382736806
大江大河2-高分影视推荐,https://lunbo.freetv.top/yy/1382736797
大秧歌  ~24经典好剧,https://lunbo.freetv.top/yy/1354744544
天下第一,https://lunbo.freetv.top/yy/1382736838
天龙八部（国语版）,https://lunbo.freetv.top/yy/1382736855
天龙神雕经典回忆,https://lunbo.freetv.top/yy/68260522
央视精选-国家宝藏：展演季,https://lunbo.freetv.top/yy/1382736896
学生兵,https://lunbo.freetv.top/yy/1354658003
宋小宝小品合集,https://lunbo.freetv.top/yy/1354931577
宋小宝春晚小品合集,https://lunbo.freetv.top/yy/1382736866
宝莲灯前传,https://lunbo.freetv.top/yy/1354931631
宫心计,https://lunbo.freetv.top/yy/1354932429
宫心计,https://lunbo.freetv.top/yy/1382828769
宫心计-港剧-古装,https://lunbo.freetv.top/yy/1354933540
宫锁珠帘,https://lunbo.freetv.top/yy/1354926666
宰相刘罗锅,https://lunbo.freetv.top/yy/1353892468
宰相刘罗锅,https://lunbo.freetv.top/yy/1382745191
家花与野花,https://lunbo.freetv.top/yy/1354420982
密子君,https://lunbo.freetv.top/yy/1382736717
寻秦记-穿越剧经典,https://lunbo.freetv.top/yy/1382749900
寻秦记-穿越剧经典,https://lunbo.freetv.top/yy/1382851591
封神榜,https://lunbo.freetv.top/yy/1353426319
封神榜,https://lunbo.freetv.top/yy/1356043643
小兵张嘎,https://lunbo.freetv.top/yy/1354930225
小宝 天龙 神雕金庸,https://lunbo.freetv.top/yy/1356043609
小宝让你乐翻天：6到9集,https://lunbo.freetv.top/yy/1354930971
小小飞虎队,https://lunbo.freetv.top/yy/1382749888
小戏骨黄飞鸿-国内动作片,https://lunbo.freetv.top/yy/1354936181
小敏,https://lunbo.freetv.top/yy/1382736890
小欢喜,https://lunbo.freetv.top/yy/1382737888
小沈阳春晚小品,https://lunbo.freetv.top/yy/1382749941
小甜甜 闯关东,https://lunbo.freetv.top/yy/1382658790
小生物的故事,https://lunbo.freetv.top/yy/1382736834
小米粒Mili,https://lunbo.freetv.top/yy/1382736842
少年包青天,https://lunbo.freetv.top/yy/1356043677
少年包青天,https://lunbo.freetv.top/yy/1382651363
少年包青天1~3蓝光版,https://lunbo.freetv.top/yy/38498680
少年包青天第三部,https://lunbo.freetv.top/yy/1382736814
少年包青天第三部,https://lunbo.freetv.top/yy/1382851540
少年歌行,https://lunbo.freetv.top/yy/1450556636
岳云鹏-屌丝抱得美人归,https://lunbo.freetv.top/yy/1382736882
岳云鹏宋小宝也来演电影了？,https://lunbo.freetv.top/yy/1354926612
巩汉林春晚小品合集,https://lunbo.freetv.top/yy/1354889035
巴不得妈妈-港式温情大放送,https://lunbo.freetv.top/yy/1354658064
巾帼枭雄之义海豪情,https://lunbo.freetv.top/yy/1382736859
布丁-玄幻电影正在直播,https://lunbo.freetv.top/yy/1455460998
平凡岁月,https://lunbo.freetv.top/yy/1382745117
年代大剧-工人大院,https://lunbo.freetv.top/yy/1382745122
康熙微服私访记,https://lunbo.freetv.top/yy/1352811698
康熙王朝,https://lunbo.freetv.top/yy/1382851583
开心果 正在直播,https://lunbo.freetv.top/yy/1457622044
张国荣与周润发的兄弟情,https://lunbo.freetv.top/yy/1354930961
弹幕天团 下饭神剧,https://lunbo.freetv.top/yy/23512910
当旺爸爸-港剧,https://lunbo.freetv.top/yy/1354936208
心理追凶-烧脑港剧,https://lunbo.freetv.top/yy/1354936207
忠烈杨家将,https://lunbo.freetv.top/yy/1382749909
怪医文三块-影视剧,https://lunbo.freetv.top/yy/1354936154
恐怖电影,https://lunbo.freetv.top/yy/1458572505
恐怖电影,https://lunbo.freetv.top/yy/24066336
恐怖诡异墓穴,https://lunbo.freetv.top/yy/1382748585
悬疑剧-河神,https://lunbo.freetv.top/yy/1353413683
悬疑电视剧,https://lunbo.freetv.top/yy/1354689861
悬疑破案港剧,https://lunbo.freetv.top/yy/1354932707
情满四合院,https://lunbo.freetv.top/yy/1382736848
情满四合院,https://lunbo.freetv.top/yy/1382736888
情满四合院,https://lunbo.freetv.top/yy/1382851524
情满四合院-高分电视剧,https://lunbo.freetv.top/yy/1382735541
惊恐盗暮鬼怪,https://lunbo.freetv.top/yy/1382749525
惊险刺激！国内最新战争大片,https://lunbo.freetv.top/yy/1382745189
憨豆先生,https://lunbo.freetv.top/yy/1354930189
憨豆先生-经典喜剧,https://lunbo.freetv.top/yy/1354936239
成龙系列,https://lunbo.freetv.top/yy/1354888751
我们的法兰西岁月,https://lunbo.freetv.top/yy/1382745090
我家无难事-经典港剧,https://lunbo.freetv.top/yy/1382736715
我爱我家,https://lunbo.freetv.top/yy/1382735557
我爱我家,https://lunbo.freetv.top/yy/1382851580
我的体育老师,https://lunbo.freetv.top/yy/1382745169
我的兄弟叫顺溜,https://lunbo.freetv.top/yy/1459331991
我的前半生,https://lunbo.freetv.top/yy/1382735564
我的父亲我的兵,https://lunbo.freetv.top/yy/1353413714
战争大片,https://lunbo.freetv.top/yy/1382735556
战争大片,https://lunbo.freetv.top/yy/1382736819
战争大片-国外电影,https://lunbo.freetv.top/yy/1382736857
战火中的故事,https://lunbo.freetv.top/yy/1382735625
战狼10086,https://lunbo.freetv.top/yy/1382773686
战狼7吴京退役,https://lunbo.freetv.top/yy/1382773714
打狗棍  4K超清,https://lunbo.freetv.top/yy/39736069
抗战神剧,https://lunbo.freetv.top/yy/1507704566
抗日神片，燃爆抗战热血魂,https://lunbo.freetv.top/yy/1354926600
拆弹专家-刘德华,https://lunbo.freetv.top/yy/1382745111
探案！探案！,https://lunbo.freetv.top/yy/1382829413
揭秘！经典传奇背后的未解之谜,https://lunbo.freetv.top/yy/1382736912
搞笑经典电影,https://lunbo.freetv.top/yy/1351537467
斗破苍穹,https://lunbo.freetv.top/yy/1356051105
斗罗小舞 正在直播,https://lunbo.freetv.top/yy/1354768831
新三国,https://lunbo.freetv.top/yy/26744898
新世界,https://lunbo.freetv.top/yy/1382736850
新主播，求照顾,https://lunbo.freetv.top/yy/1382690406
新白娘子4K高清观看,https://lunbo.freetv.top/yy/1508902755
新白娘子传奇,https://lunbo.freetv.top/yy/1354490667
施公奇案1-欧阳震华,https://lunbo.freetv.top/yy/1382749918
施公奇案2-欧阳震华,https://lunbo.freetv.top/yy/1382736824
无敌县令,https://lunbo.freetv.top/yy/1354932390
无敌燕双鹰,https://lunbo.freetv.top/yy/1354825244
易中天品三国完整版,https://lunbo.freetv.top/yy/1461244449
星爷经典-百看不厌,https://lunbo.freetv.top/yy/1382736808
是心动啊~国产爱情片大赏！,https://lunbo.freetv.top/yy/1354936199
暮光之城全季,https://lunbo.freetv.top/yy/1382745179
最后的狮子-探险纪录片,https://lunbo.freetv.top/yy/1382735577
木乃伊全集,https://lunbo.freetv.top/yy/1354889024
本山快乐营,https://lunbo.freetv.top/yy/1382736852
本山快乐营-爆笑小品,https://lunbo.freetv.top/yy/1354930948
本山快乐营1,https://lunbo.freetv.top/yy/1354936209
